
Poř.    Splátka    Úrok    Úmor    Úvěr    
1.      17.77    2.0    15.77    184.23    
2.      17.77    1.84    15.93    168.3    
3.      17.77    1.68    16.09    152.22    
4.      17.77    1.52    16.25    135.97    
5.      17.77    1.36    16.41    119.56    
6.      17.77    1.2    16.57    102.98    
7.      17.77    1.03    16.74    86.24    
8.      17.77    0.86    16.91    69.33    
9.      17.77    0.69    17.08    52.26    
10.     17.77    0.52    17.25    35.01    
11.     17.77    0.35    17.42    17.59    
12.     17.77    0.18    17.59    0.0    
